COUNTRY,COUNTRY_CODE,YEAR,Partyfacs_ID,ABBREVIATION,PARTY_NAME_ENGLISH,PARTY_NAME,FOUNDED,PERSON,WIKIPEDIA,WEBSITE_NATIONAL,WEBSITE_NATIONAL_SUBPAGE_EU,WEBSITE_EU,WEBSITE_EUGROUP_SUBPAGE,EU_GROUP,TWITTER_NATIONAL,FB_NATIONAL,INSTA_NATIONAL,TIKTOK_NATIONAL,TIKTOK_NAT_DISPLAY_NAME,YT_NATIONAL,TWITTER_EU,FB_EU,INSTA_EU,TIKTOK_EU,TIKTOK_EU_DISPLAY_NAME,YT_EU,YT_EU_BIO_HANDLE,YT_EU_ID
Bulgaria,3,2024,482,SDS,Union of Democratic Forces,Sayuz na demokratichnite sili,1989,NA,https://en.wikipedia.org/wiki/Union_of_Democratic_Forces_(Bulgaria),https://www.sds.bg,https://www.sds.bg/category/%d0%b5%d0%b2%d1%80%d0%be%d0%bf%d0%b5%d0%b9%d1%81%d0%ba%d0%b8-%d0%bf%d0%b0%d1%80%d0%bb%d0%b0%d0%bc%d0%b5%d0%bd%d1%82/,NA,NA,EPP,NA,sdsbgul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,3,2024,2056,VMRO,IMRO - Bulgarian National Movement,Bulgarsko Natsionalno Dvizhenie,1996,NA,https://en.wikipedia.org/wiki/VMRO_–_Bulgarian_National_Movement,https://vmro.bg,https://vmro.bg/category/evropeiski-parlament/,NA,https://ecrgroup.eu/ecr/party/imro_bulgarian_national_movement,ECR,NA,www.vmro.bg,NA,NA,NA,@VMRO-BND,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,3,2024,NA,NA,The Left!,Levitsata!,2023,NA,https://en.wikipedia.org/wiki/The_Left_(Bulgaria),https://www.levicata.com/,NA,NA,NA,NA,NA,Levitsata,levitsata,@levicata4,Левицата 14,@levitsata,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,3,2024,5862,NA,Revival,Vazrazhdane,2014,NA,https://en.wikipedia.org/wiki/Revival_(Bulgarian_political_party),https://vazrazhdane.bg/,https://vazrazhdane.bg/eu-izbori/,NA,NA,NA,@vazrazhdane,vazrazhdane.bg,vazrazhdane.bg,@vazrazhdane.bg,Възраждане,@Vazrazhdane,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,4,2024,3918,DP,Homeland Movement,Domovinski pokret,2020,NA,https://en.wikipedia.org/wiki/Homeland_Movement_(Croatia),https://dp.hr/,NA,NA,NA,NA,@DPHrvatska,domovinskipokret,domovinskipokret.hr,@domovinskipokret.hr,Domovinski pokret,@DomovinskipokretRH,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,4,2024,3918,FOKUS,FOKUS,FOKUS,2020,NA,https://en.wikipedia.org/wiki/Focus_(Croatian_political_party),http://fokusnabitno.com/,NA,NA,NA,NA,@FokusNaBitno,fokusirajse.hr,fokusnabitno,NA,NA,@FOKUSnaBitno,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,4,2019,NA,GLAS,Civic Liberal Alliance,Građansko-liberalni savez,2017,NA,https://en.wikipedia.org/wiki/Civic_Liberal_Alliance,https://glas.com.hr/,NA,NA,NA,NA,Stranka_GLAS,GLAS.CLA,glas_hr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,4,2024,1431,HDZ,Croatian Democratic Union,Hrvatska demokratska zajednica,1989,NA,https://en.wikipedia.org/wiki/Croatian_Democratic_Union,https://hdz.hr,https://hdz.hr/category/73/zastupnici-u-europskom-parlamentu,NA,NA,EPP,@HDZ_HR,HDZ1989,hdz.hr,NA,NA,@HdzHr,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,4,2024,799,HNS,Croatian People's Party -- Liberal Democrats,Hrvatska narodna stranka - Liberalni demokrati,1990,NA,https://en.wikipedia.org/wiki/Croatian_People%27s_Party_%E2%80%93_Liberal_Democrats,https://hns.hr/,NA,NA,NA,NA,NA,Narodna stranka,hns_liberali,NA,NA,HNShr,NA,NA,NA,NA,NA,NA,NA,NA
Croatia,4,2024,3918,HS,Croatian Sovereignists,Hrvatski suverenisti,2019,NA,https://en.wikipedia.org/wiki/Croatian_Sovereignists,https://suverenisti.hr/,NA,NA,https://ecrparty.eu/eu-member-party/croatian-sovereignist-party/,ECR,@suverenisti,hrsuverenisti,hrvatskisuverenisti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
